Date,Open,High,Low,Close,Adj Close,Volume
4/17/2020,98.889999,100.769997,98,100.629997,100.629997,4171900
4/20/2020,98.830002,99.779999,96.830002,97.239998,97.239998,3060800
4/21/2020,94.870003,95.599998,91.400002,91.760002,91.760002,3795300
4/22/2020,94.290001,96.459999,93.330002,95.400002,95.400002,3742600
4/23/2020,94.949997,96.650002,93.790001,94.610001,94.610001,2496300
4/24/2020,95.290001,96.690002,93.620003,96.290001,96.290001,3279300
4/27/2020,97.489998,99.379997,96.480003,99.18,99.18,3202500
4/28/2020,100.839996,101.199997,99.010002,99.779999,99.779999,4735100
4/29/2020,102,105.580002,101.68,104.730003,104.730003,4935200
4/30/2020,103.93,104.260002,102.089996,103.059998,103.059998,3281900
5/1/2020,101.190002,102.150002,99.669998,100.25,100.25,2984500
5/4/2020,99.43,101.699997,99,101.540001,101.540001,3496300
5/5/2020,102.129997,105.120003,102.059998,103.830002,103.830002,3330700
5/6/2020,105,107.059998,104.419998,105.489998,105.489998,3864600
5/7/2020,105.489998,108.370003,105.050003,107.32,107.32,4234700
5/8/2020,106.690002,108.830002,103.419998,104.779999,104.779999,8497200
5/11/2020,104.120003,104.339996,101.5,101.730003,101.730003,6577300
5/12/2020,101.959999,102.540001,100.07,100.269997,100.269997,7032200
5/13/2020,99.480003,101.190002,97.5,98.860001,98.860001,6212300
5/14/2020,99.690002,99.870003,96.940002,99.32,99.32,5780000
5/15/2020,99.290001,100.639999,98.190002,100.019997,100.019997,3755600
5/18/2020,102.150002,106.510002,101.800003,105.050003,105.050003,5025600
5/19/2020,104.589996,106.160004,101.889999,102.480003,102.480003,6305600
5/20/2020,104.040001,106.040001,103.440002,105.800003,105.800003,4425100
5/21/2020,105.489998,105.550003,103.07,103.580002,103.580002,2951900
5/22/2020,103.559998,104.489998,102.93,103.93,103.93,3035500
5/26/2020,106.610001,106.879997,104.330002,105.239998,105.239998,4137400
5/27/2020,105.760002,106.32,102.940002,105.349998,105.349998,3381600
5/28/2020,105.800003,107.690002,104.970001,106.190002,106.190002,3772900
5/29/2020,106.559998,107.07,104.709999,106.769997,106.769997,5371500
6/1/2020,106.330002,109.089996,106.330002,108.870003,108.870003,3407400
6/2/2020,108.940002,109.5,106.790001,107.82,107.82,3752600
6/3/2020,108.790001,109.25,106.910004,108.839996,108.839996,3924600
6/4/2020,108.470001,108.839996,105.040001,105.75,105.75,4265100
6/5/2020,107.480003,109.839996,106.220001,109.550003,109.550003,6215500
6/8/2020,109.139999,109.709999,106.32,106.879997,106.879997,5069000
6/9/2020,106.980003,108.760002,106.75,107.389999,107.389999,4525100
6/10/2020,107.550003,108.410004,105.129997,106.669998,106.669998,4297700
6/11/2020,105.25,105.400002,98.830002,99.849998,99.849998,6983100
6/12/2020,102.400002,102.620003,98.449997,100.339996,100.339996,4836900
6/15/2020,99.150002,100.93,97.599998,99.940002,99.940002,4434700
6/16/2020,102.739998,104.25,101.419998,103.32,103.32,3928000
6/17/2020,103.639999,104.309998,102.169998,103.150002,103.150002,3143800
6/18/2020,103.449997,104.360001,102.379997,104.029999,104.029999,3445100
6/19/2020,105.339996,105.339996,99.209999,100.050003,100.050003,7948500
6/22/2020,99.790001,102.5,99.489998,101.290001,101.290001,4970500
6/23/2020,102.330002,103.199997,101.099998,101.959999,101.959999,3608200
6/24/2020,101.019997,101.599998,96.349998,96.610001,96.610001,5705000
6/25/2020,96.629997,97.739998,96.050003,97.43,97.43,3708600
6/26/2020,97.239998,97.900002,94.5,94.919998,94.919998,20213300
6/29/2020,95.160004,97.040001,93.75,97.010002,97.010002,5012400
6/30/2020,96.279999,98.019997,96.010002,97.620003,97.620003,4393400
7/1/2020,97.879997,98.980003,96.959999,98.5,98.5,4013100
7/2/2020,100,100.720001,98.059998,98.25,98.25,2663400
7/6/2020,99.43,99.870003,97.839996,98.110001,98.110001,2960400
7/7/2020,97.959999,99.849998,96.459999,96.809998,96.809998,4228700
7/8/2020,96.989998,97.690002,95.889999,97.099998,97.099998,3535700
7/9/2020,97.099998,97.629997,93.900002,94.82,94.82,4720300
7/10/2020,94.809998,96.209999,94.360001,95.980003,95.980003,4769700
7/13/2020,96.760002,97.18,94.190002,94.360001,94.360001,4305700
7/14/2020,93.849998,97.690002,93.620003,97.540001,97.540001,5134700
7/15/2020,98.959999,102.019997,98.599998,100.739998,100.739998,5643700
7/16/2020,100.25,100.690002,98.82,99.379997,99.379997,3571000
7/17/2020,100.910004,102.989998,99.419998,102.599998,102.599998,5067400
7/20/2020,102.550003,103.629997,101.790001,102.07,102.07,4117800
7/21/2020,102.690002,102.980003,101.349998,101.610001,101.610001,3179900
7/22/2020,101.610001,102.660004,101.459999,102.440002,102.440002,2517800
7/23/2020,102.730003,104.290001,101.510002,102.190002,102.190002,4905100
7/24/2020,101.790001,102.169998,99.870003,100.629997,100.629997,2095100
7/27/2020,100.169998,101.529999,99.5,101.150002,101.150002,2737500
7/28/2020,100.860001,101.309998,99.18,99.900002,99.900002,3800000
7/29/2020,100.300003,101.709999,99.690002,101.370003,101.370003,2144500
7/30/2020,99.699997,100.68,98.839996,100.449997,100.449997,3604400
7/31/2020,100.470001,100.470001,98.860001,99.790001,99.790001,3472200
8/3/2020,100.519997,101.349998,99.279999,100.540001,100.540001,5105300
8/4/2020,100.199997,101.830002,99.330002,99.650002,99.650002,5031800
8/5/2020,100.720001,100.970001,97.620003,98,98,5283200
8/6/2020,100.900002,103.690002,99.389999,102.379997,102.379997,9840800
8/7/2020,101.510002,103.989998,100.220001,103.910004,103.910004,4631300
8/10/2020,103.68,103.93,99,99.339996,99.339996,7090400
8/11/2020,98.900002,99.889999,96.989998,98.220001,98.220001,6512100
8/12/2020,98.889999,100.18,97.889999,97.970001,97.970001,4012300
8/13/2020,98.220001,100.25,97.989998,99.480003,99.480003,2541400
8/14/2020,98.940002,100.099998,98.510002,99.769997,99.769997,2182200
8/17/2020,100.290001,102.720001,99.970001,102.18,102.18,3473800
8/18/2020,102.160004,103.550003,101.550003,102.669998,102.669998,4321000
8/19/2020,103.43,104.400002,100.199997,100.440002,100.440002,5469800
8/20/2020,99.529999,99.720001,96.82,97,97,6029000
